d,pobs,turn,risk
299,29,0,False
299,29,1,False
298,29,0,False
298,29,1,False
298,29,0,False
298,29,1,False
297,29,0,False
297,29,1,False
297,29,0,False
297,29,1,False
297,29,0,False
297,29,1,False
297,29,0,False
297,28,1,False
296,28,0,False
296,29,1,False
296,29,0,False
296,28,1,False
295,28,0,False
295,29,1,False
295,29,0,False
295,29,1,False
295,29,0,False
295,29,1,False
294,29,0,False
294,28,1,False
294,28,0,False
294,27,1,False
294,27,0,False
294,25,1,True
293,25,0,True
293,26,1,True
293,26,0,True
293,25,1,True
292,25,0,True
292,26,1,True
292,26,0,True
292,25,1,True
292,25,0,True
292,26,1,True
292,26,0,True
292,25,1,True
292,25,0,True
292,23,1,True
292,23,0,True
292,23,1,True
292,23,0,True
292,21,1,True
292,21,0,True
292,22,1,True
291,22,0,True
291,19,1,True
291,19,0,True
291,19,1,True
291,19,0,True
291,18,1,True
290,18,0,True
290,18,1,True
290,18,0,True
290,16,1,True
289,16,0,True
289,17,1,True
288,17,0,True
288,16,1,True
288,16,0,True
288,14,1,True
288,14,0,True
288,13,1,True
287,13,0,True
287,14,1,True
287,14,0,True
287,13,1,True
286,13,0,True
286,11,1,True
286,11,0,True
286,10,1,True
285,10,0,True
285,11,1,True
284,11,0,True
284,11,1,True
283,11,0,True
283,9,1,True
282,9,0,True
282,9,1,True
282,9,0,True
282,11,1,True
281,11,0,True
281,10,1,True
280,10,0,True
280,8,1,True
280,8,0,True
280,7,1,True
280,7,0,True
280,6,1,True
279,6,0,True
279,6,1,True
279,6,0,True
279,5,1,True
278,5,0,True
278,4,1,True
277,4,0,True
277,5,1,True
276,5,0,True
276,4,1,True
275,4,0,True
275,2,1,True
274,2,0,True
274,1,1,True
273,1,0,True
273,1,1,True
273,1,0,True
273,1,1,True
272,1,0,True
272,0,1,True
271,0,0,True
271,0,1,True
270,0,0,True
270,1,1,True
269,1,0,True
269,0,1,True
268,0,0,True
268,0,1,True
267,0,0,True
267,0,1,True
266,0,0,True
266,0,1,True
265,0,0,True
265,0,1,True
264,0,0,True
264,0,1,True
263,0,0,True
263,1,1,True
262,1,0,True
262,0,1,True
261,0,0,True
261,1,1,True
260,1,0,True
260,0,1,True
259,0,0,True
259,0,1,True
258,0,0,True
258,0,1,True
257,0,0,True
257,0,1,True
256,0,0,True
256,1,1,True
255,1,0,True
255,0,1,True
254,0,0,True
254,1,1,True
253,1,0,True
253,0,1,True
252,0,0,True
252,1,1,True
251,1,0,True
251,0,1,True
250,0,0,True
250,0,1,True
249,0,0,True
249,1,1,True
248,1,0,
